Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea
2001,1,1,1,ACSA,1,1,0,16.5,0,115.66,26.04,1,625.00,0.00
2001,1,1,1,ACSA,1,2,0,20.1,4,109.49,9.91,1,625.00,0.00
2001,1,1,1,BEAL,3,3,0,45.0,5,281.52,38.04,1,625.00,0.00
2001,1,1,1,BEAL,3,4,0,35.2,0,757.72,152.09,1,625.00,0.00
2001,1,1,1,ABBA,9,5,0,37.0,0,515.28,138.95,1,625.00,0.00
2001,1,1,1,ABBA,9,6,0,16.4,0,62.31,22.05,1,625.00,0.00
2001,1,1,1,ABBA,9,7,0,14.1,0,42.58,15.76,1,625.00,0.00
2001,1,1,1,ABBA,9,8,0,18.6,0,85.84,29.22,1,625.00,0.00
2001,1,1,1,PIRU,10,9,0,35.7,0,356.30,118.07,1,625.00,0.00
2001,1,1,1,PIRU,10,10,0,30.3,0,256.93,86.19,1,625.00,0.00
2001,1,1,1,PIRU,10,11,0,23.1,0,147.70,50.50,1,625.00,0.00
2001,1,1,1,PIRU,10,12,0,25.3,0,178.11,60.52,1,625.00,0.00
2001,1,1,1,PIRU,10,13,0,21.0,0,121.22,41.70,1,625.00,0.00
2001,1,1,1,PIRU,10,14,0,12.9,0,43.41,15.34,1,625.00,0.00
2001,1,1,1,BEPA,11,15,0,20.3,0,198.53,42.50,1,625.00,0.00
2001,1,1,1,BEPA,11,15,0,28.6,0,443.74,91.64,1,625.00,0.00
2001,1,1,1,BEPA,11,15,0,10.0,0,33.85,7.64,1,625.00,0.00
2001,1,1,1,BEPA,11,16,0,31.9,0,569.34,116.08,1,625.00,0.00
2001,1,1,1,BEPA,11,17,0,20.6,4,110.11,10.66,1,625.00,0.00
2001,1,1,1,BEPA,11,17,0,25.2,0,331.07,69.33,1,625.00,0.00
2001,1,1,1,BEPA,11,18,0,33.7,0,644.62,130.56,1,625.00,0.00
2001,1,1,1,BEPA,11,19,0,15.3,0,99.55,21.84,1,625.00,0.00
2001,1,1,1,BEPA,11,19,0,25.9,0,352.88,73.68,1,625.00,0.00
2001,1,1,1,BEPA,11,20,0,33.7,0,644.62,130.56,1,625.00,0.00
2001,1,1,1,BEPA,11,21,0,17.0,0,129.11,28.08,1,625.00,0.00
2001,1,1,1,BEPA,11,22,0,33.7,0,644.62,130.56,1,625.00,0.00
2001,1,1,1,BEPA,11,23,0,31.4,0,549.28,112.20,1,625.00,0.00
2001,1,1,1,BEPA,11,24,0,23.5,0,281.10,59.30,1,625.00,0.00
2001,1,1,1,BEPA,11,25,0,27.8,0,415.70,86.12,1,625.00,0.00
2001,1,1,1,ACPE,6,26,0,12.3,0,59.61,10.16,1,625.00,0.00
2001,1,1,1,BEAL,3,27,0,2.0,0,0.40,0.09,1,0.00,75.00
2001,1,1,1,PIRU,10,28,0,2.9,0,1.92,0.69,1,0.00,75.00
2001,1,1,1,ACPE,6,29,0,3.0,0,1.53,0.76,1,0.00,75.00
2001,1,2,1,FAGR,2,30,0,26.5,0,302.07,67.83,1,625.00,0.00
2001,1,2,1,FAGR,2,31,0,26.9,0,311.67,69.83,1,625.00,0.00
2001,1,2,1,ABBA,9,32,0,17.2,0,70.32,24.53,1,625.00,0.00
2001,1,2,1,ABBA,9,33,0,15.0,5,12.44,2.57,1,625.00,0.00
2001,1,2,1,ABBA,9,34,0,22.0,5,34.52,6.06,1,625.00,0.00
2001,1,2,1,ABBA,9,35,0,20.2,3,106.06,35.17,1,625.00,0.00
2001,1,2,1,PIRU,10,36,0,11.5,0,33.99,12.07,1,625.00,0.00
2001,1,2,1,PIRU,10,37,0,14.9,0,58.94,20.68,1,625.00,0.00
2001,1,2,1,PIRU,10,38,0,20.5,0,115.29,39.72,1,625.00,0.00
2001,1,2,1,PIRU,10,39,0,16.0,0,68.53,23.95,1,625.00,0.00
2001,1,2,1,PIRU,10,40,0,20.0,0,109.50,37.78,1,625.00,0.00
2001,1,2,1,PIRU,10,41,0,22.7,0,142.47,48.76,1,625.00,0.00
2001,1,2,1,PIRU,10,42,0,13.5,0,47.81,16.86,1,625.00,0.00
2001,1,2,1,PIRU,10,43,0,29.1,0,236.81,79.68,1,625.00,0.00
2001,1,2,1,PIRU,10,44,0,10.9,0,30.33,10.79,1,625.00,0.00
2001,1,2,1,PIRU,10,45,0,13.1,0,44.85,15.84,1,625.00,0.00
2001,1,2,1,PIRU,10,46,0,17.5,0,82.77,28.79,1,625.00,0.00
2001,1,2,1,PIRU,10,47,0,10.5,0,28.01,9.98,1,625.00,0.00
2001,1,2,1,BEPA,11,48,0,29.0,0,458.11,94.46,1,625.00,0.00
2001,1,2,1,BEPA,11,49,0,19.0,0,169.28,36.46,1,625.00,0.00
2001,1,2,1,BEPA,11,50,0,14.0,0,79.77,17.62,1,625.00,0.00
2001,1,2,1,BEPA,11,51,0,19.1,0,171.44,36.91,1,625.00,0.00
2001,1,2,1,BEPA,11,52,0,21.7,0,232.80,49.51,1,625.00,0.00
2001,1,2,1,BEPA,11,53,0,14.7,0,90.12,19.83,1,625.00,0.00
2001,1,2,1,BEPA,11,54,0,11.9,0,52.89,11.81,1,625.00,0.00
2001,1,2,1,BEPA,11,55,0,11.6,0,49.56,11.09,1,625.00,0.00
2001,1,2,1,BEPA,11,56,0,17.3,0,134.76,29.27,1,625.00,0.00
2001,1,2,1,BEPA,11,57,0,19.7,0,184.72,39.66,1,625.00,0.00
2001,1,2,1,BEPA,11,58,0,20.5,0,203.25,43.47,1,625.00,0.00
2001,1,2,1,BEPA,11,58,0,15.0,0,94.77,20.83,1,625.00,0.00
2001,1,2,1,BEPA,11,59,0,16.1,0,112.94,24.68,1,625.00,0.00
2001,1,2,1,BEPA,11,60,0,16.3,0,116.43,25.42,1,625.00,0.00
2001,1,2,1,BEPA,11,61,0,10.1,0,34.73,7.83,1,625.00,0.00
2001,1,2,1,BEPA,11,62,0,23.2,0,272.72,57.61,1,625.00,0.00
2001,1,2,1,BEPA,11,62,0,10.2,0,35.62,8.03,1,625.00,0.00
2001,1,2,1,BEPA,11,63,0,24.0,0,295.35,62.18,1,625.00,0.00
2001,1,2,1,BEPA,11,64,0,18.1,0,150.48,32.55,1,625.00,0.00
2001,1,2,1,BEPA,11,65,0,22.7,0,259.05,54.85,1,625.00,0.00
2001,1,2,1,BEPA,11,66,0,11.5,0,48.48,10.85,1,625.00,0.00
2001,1,2,1,BEPA,11,67,0,36.7,0,780.78,156.46,1,625.00,0.00
2001,1,2,1,BEPA,11,67,0,30.4,0,510.26,104.63,1,625.00,0.00
2001,1,2,1,ACRU,13,68,0,37.5,0,932.71,157.42,1,625.00,0.00
2001,1,2,1,ACRU,13,69,0,18.1,5,38.70,4.58,1,625.00,0.00
2001,1,2,1,UNKN,15,70,0,25.5,5,84.84,9.86,1,625.00,0.00
2001,1,2,1,FAGR,2,71,0,3.5,0,3.00,0.88,1,0.00,75.00
2001,1,2,1,FAGR,2,72,0,3.5,0,3.00,0.88,1,0.00,75.00
2001,1,2,1,FAGR,2,73,0,2.3,0,1.15,0.35,1,0.00,75.00
2001,1,2,1,FAGR,2,74,0,5.2,0,7.56,2.12,1,0.00,75.00
2001,1,2,1,FAGR,2,75,0,4.8,0,6.26,1.77,1,0.00,75.00
2001,1,2,1,FAGR,2,76,0,2.0,0,0.84,0.26,1,0.00,75.00
2001,1,2,1,FAGR,2,77,0,3.4,0,2.81,0.83,1,0.00,75.00
2001,1,2,1,ACRU,13,78,0,6.1,0,8.69,2.42,1,0.00,75.00
2001,1,2,1,ACRU,13,79,0,2.1,3,0.60,0.19,1,0.00,75.00
2001,1,2,1,ACPE,6,80,0,5.7,0,7.72,2.47,1,0.00,75.00
2001,1,2,1,ACPE,6,81,0,4.4,0,3.97,1.53,1,0.00,75.00
2001,1,2,1,ACPE,6,82,0,3.7,0,2.57,1.12,1,0.00,75.00
2001,1,3,1,FAGR,2,83,0,15.9,4,57.34,5.87,1,625.00,0.00
2001,1,3,1,FAGR,2,84,0,28.7,4,198.91,19.19,1,625.00,0.00
2001,1,3,1,ABBA,9,85,0,13.8,4,21.24,3.64,1,625.00,0.00
2001,1,3,1,ABBA,9,86,0,10.1,0,18.67,7.57,1,625.00,0.00
2001,1,3,1,ABBA,9,87,0,12.4,0,30.91,11.87,1,625.00,0.00
2001,1,3,1,ABBA,9,88,0,12.9,0,34.10,12.95,1,625.00,0.00
2001,1,3,1,ABBA,9,89,0,29.2,0,276.12,80.96,1,625.00,0.00
2001,1,3,1,ABBA,9,90,0,17.0,5,17.34,3.39,1,625.00,0.00
2001,1,3,1,ABBA,9,91,0,19.0,0,90.65,30.65,1,625.00,0.00
2001,1,3,1,ABBA,9,92,0,14.4,0,44.89,16.51,1,625.00,0.00
2001,1,3,1,ABBA,9,93,0,17.4,5,18.44,3.58,1,625.00,0.00
2001,1,3,1,ABBA,9,94,0,16.9,0,67.24,23.58,1,625.00,0.00
2001,1,3,1,ABBA,9,95,0,15.3,0,52.28,18.89,1,625.00,0.00
2001,1,3,1,ABBA,9,96,0,27.2,4,129.62,16.71,1,625.00,0.00
2001,1,3,1,ABBA,9,97,0,22.3,0,136.86,43.95,1,625.00,0.00
2001,1,3,1,ABBA,9,98,0,10.1,0,18.67,7.57,1,625.00,0.00
2001,1,3,1,ABBA,9,99,0,12.1,0,29.09,11.25,1,625.00,0.00
2001,1,3,1,ABBA,9,100,0,24.3,0,170.97,53.36,1,625.00,0.00
2001,1,3,1,ABBA,9,101,0,16.4,0,62.31,22.05,1,625.00,0.00
2001,1,3,1,ABBA,9,102,0,14.2,0,43.34,16.01,1,625.00,0.00
2001,1,3,1,ABBA,9,103,0,10.0,0,18.23,7.41,1,625.00,0.00
2001,1,3,1,ABBA,9,104,0,13.4,0,37.49,14.08,1,625.00,0.00
2001,1,3,1,ABBA,9,105,0,20.0,5,26.74,4.89,1,625.00,0.00
2001,1,3,1,ABBA,9,106,0,11.5,0,25.66,10.06,1,625.00,0.00
2001,1,3,1,ABBA,9,107,0,10.8,0,21.99,8.77,1,625.00,0.00
2001,1,3,1,ABBA,9,108,0,10.0,0,18.23,7.41,1,625.00,0.00
2001,1,3,1,ABBA,9,109,0,13.6,0,38.90,14.55,1,625.00,0.00
2001,1,3,1,ABBA,9,110,0,17.5,0,73.48,25.49,1,625.00,0.00
2001,1,3,1,ABBA,9,111,0,21.9,4,72.38,10.23,1,625.00,0.00
2001,1,3,1,ABBA,9,112,0,16.0,0,58.53,20.87,1,625.00,0.00
2001,1,3,1,ABBA,9,113,0,12.3,3,30.30,11.66,1,625.00,0.00
2001,1,3,1,ABBA,9,114,0,12.3,0,30.30,11.66,1,625.00,0.00
2001,1,3,1,ABBA,9,115,0,10.0,0,18.23,7.41,1,625.00,0.00
2001,1,3,1,ABBA,9,116,0,11.6,0,26.21,10.25,1,625.00,0.00
