plot,x,y,weir,feet,m
1,-8,34,840.96,2421,738.2
2,-7,34,835.99,2416,736.7
3,-6,34,834.85,2415,736.4
4,-5,34,831.96,2412,735.5
5,-4,34,827.67,2408,734.2
6,-3,34,814.12,2395,730.1
7,-2,34,809.08,2390,728.5
8,-1,34,802.88,2383,726.6
9,-9,33,854.72,2435,742.4
10,-8,33,843,2423,738.9
11,-7,33,837.99,2418,737.3
12,-6,33,835.39,2416,736.5
13,-5,33,832.49,2413,735.7
14,-4,33,826.68,2407,733.9
15,-3,33,813.79,2394,730
16,-2,33,812.65,2393,729.6
17,-1,33,790.39,2371,722.8
18,-8,32,845.37,2426,739.6
19,-7,32,838.38,2419,737.5
20,-6,32,831.59,2412,735.4
21,-5,32,820.65,2401,732.1
22,-4,32,815.4,2396,730.5
23,-3,32,807.36,2388,728
24,-2,32,799.31,2380,725.5
25,-1,32,774.7,2355,718
26,0,32,760.08,2341,713.6
27,-8,31,835.35,2416,736.5
28,-7,31,822.86,2403,732.7
29,-6,31,819.04,2400,731.6
30,-5,31,803.42,2384,726.8
31,-4,31,786.63,2367,721.7
32,-3,31,788.96,2369,722.4
33,-2,31,768.09,2349,716
34,-1,31,742.42,2323,708.2
35,0,31,740.1,2321,707.5
36,-7,30,803.67,2384,726.9
37,-6,30,794.99,2375,724.2
38,-5,30,770.64,2351,716.8
39,-4,30,755.58,2336,712.2
40,-3,30,748.06,2329,709.9
41,-2,30,723.97,2304,702.6
42,-1,30,730.79,2311,704.7
43,0,30,725.53,2306,703.1
44,-6,29,769.89,2350,716.6
45,-5,29,736.59,2317,706.4
46,-4,29,698.49,2279,694.8
47,-3,29,696.85,2277,694.3
48,-2,29,697.49,2278,694.5
49,-1,29,710.57,2291,698.5
50,0,29,706.36,2287,697.2
51,-6,28,715.27,2296,699.9
52,-5,28,669.93,2250,686.1
53,-4,28,659.47,2240,682.9
54,-3,28,659.96,2240,683.1
55,-2,28,676.63,2257,688.1
56,-1,28,681.74,2262,689.7
57,0,28,679.02,2260,688.9
58,-6,27,660.66,2241,683.3
59,-5,27,638.45,2219,676.5
60,-4,27,631.19,2212,674.3
61,-3,27,632.24,2213,674.6
62,-2,27,639.23,2220,676.7
63,-1,27,645.47,2226,678.6
64,0,27,637.33,2218,676.2
65,-6,26,618.45,2199,670.4
66,-5,26,606.01,2187,666.6
67,-4,26,594.79,2175,663.2
68,-3,26,601.17,2182,665.1
69,-2,26,603.94,2184,666
70,-1,26,609.86,2190,667.8
71,0,26,615.26,2196,669.4
72,-6,25,569.34,2150,655.4
73,-5,25,572.42,2153,656.4
74,-4,25,562.49,2143,653.3
75,-3,25,578.84,2159,658.3
76,-2,25,584.24,2165,660
77,-1,25,589.77,2170,661.7
78,0,25,602.52,2183,665.6
79,-6,24,537.77,2118,645.8
80,-5,24,532.07,2113,644.1
