Site_ID,Year,Plot,Horizon,pHw,pHs,PercentN,PercentC,ExAcidcmolc_kg,ExCacmolc_kg,ExMgcmolc_kg,ExNacmolc_kg,ExKcmolc_kg,ExAlcmolc_kg,ExSicmol_kg,ExAl_Kclcmolc_kg
1996-1-1-Oa,1996,1,Oa,3.84,3.44,1.8234,30.4157,19.01,0.81,0.82,0.24,1.17,18.68,-9999.99,-9999.99
1996-1-1-Oie,1996,1,Oie,3.16,3.10,2.3752,50.5003,24.05,7.58,1.78,0.27,2.75,15.25,-9999.99,-9999.99
1996-1-4-Oa,1996,4,Oa,3.42,2.83,1.8308,41.4253,21.53,6.71,2.10,0.34,1.81,9.66,-9999.99,-9999.99
1996-1-4-Oie,1996,4,Oie,3.42,3.08,2.1576,49.5638,10.13,13.80,3.30,0.27,2.75,1.31,-9999.99,-9999.99
1996-1-7-Oa,1996,7,Oa,3.48,3.01,1.6938,36.6882,12.41,3.12,1.89,0.21,1.90,2.82,-9999.99,-9999.99
1996-1-7-Oie,1996,7,Oie,3.83,3.62,2.2917,50.6401,11.92,9.88,2.85,0.07,2.32,0.56,-9999.99,-9999.99
1996-1-11-Oa,1996,11,Oa,3.73,3.21,1.9134,35.9373,14.37,2.88,1.56,0.18,1.98,7.33,-9999.99,-9999.99
1996-1-11-Oie,1996,11,Oie,2.95,2.77,2.5370,50.5143,32.82,3.63,0.73,0.11,0.94,3.49,-9999.99,-9999.99
1996-1-15-Oa,1996,15,Oa,3.50,3.13,1.5149,30.6640,14.11,1.46,1.62,0.18,2.46,6.47,-9999.99,-9999.99
1996-1-15-Oie,1996,15,Oie,3.96,3.82,2.1794,47.8692,12.66,13.95,2.82,0.23,2.40,1.67,-9999.99,-9999.99
1996-1-17-Oa,1996,17,Oa,3.55,3.16,0.7493,14.3372,10.54,0.72,0.55,0.15,0.75,4.04,-9999.99,-9999.99
1996-1-17-Oie,1996,17,Oie,3.80,3.59,1.9564,37.0039,8.63,10.04,2.39,0.15,2.21,1.56,-9999.99,-9999.99
1996-1-19-Oa,1996,19,Oa,3.93,3.51,1.1337,17.4518,11.54,1.14,0.86,0.15,1.04,8.56,-9999.99,-9999.99
1996-1-19-Oie,1996,19,Oie,3.58,3.41,2.2342,46.4085,13.43,14.24,2.05,0.16,2.17,2.80,-9999.99,-9999.99
1996-1-22-Oa,1996,22,Oa,3.44,2.98,1.5373,31.4842,13.08,4.65,1.66,0.29,1.71,3.82,-9999.99,-9999.99
1996-1-22-Oie,1996,22,Oie,3.50,3.12,2.2260,50.9813,14.39,12.26,2.19,0.28,2.41,1.82,-9999.99,-9999.99
1996-1-25-Oa,1996,25,Oa,3.48,2.87,0.7940,16.3077,8.57,1.74,0.52,0.12,0.69,2.06,-9999.99,-9999.99
1996-1-25-Oie,1996,25,Oie,3.75,3.52,2.0541,42.2537,11.05,11.23,1.53,0.26,2.04,1.38,-9999.99,-9999.99
1996-1-29-Oa,1996,29,Oa,3.87,3.37,1.0518,18.3865,16.16,0.36,0.49,0.12,0.63,12.52,-9999.99,-9999.99
1996-1-29-Oie,1996,29,Oie,3.47,3.26,2.4041,44.8046,33.76,3.19,0.74,0.23,1.51,17.16,-9999.99,-9999.99
1996-1-32-Oa,1996,32,Oa,3.33,2.89,1.1674,25.3601,13.59,1.54,0.88,0.17,0.90,6.86,-9999.99,-9999.99
1996-1-32-Oie,1996,32,Oie,3.21,2.95,2.1173,50.3801,16.41,9.32,2.32,0.27,2.07,1.98,-9999.99,-9999.99
1996-1-35-Oa,1996,35,Oa,4.08,3.82,1.1672,19.6359,11.24,0.33,0.51,0.17,0.83,11.00,-9999.99,-9999.99
1996-1-35-Oie,1996,35,Oie,3.88,3.75,2.1714,48.5358,16.96,3.99,0.76,0.19,1.69,10.83,-9999.99,-9999.99
1996-1-37-Oa,1996,37,Oa,3.55,3.08,0.4411,7.2775,6.33,0.76,0.31,0.05,0.33,3.14,-9999.99,-9999.99
1996-1-37-Oie,1996,37,Oie,3.46,3.18,1.4932,29.2170,9.43,7.14,1.48,0.10,1.55,1.49,-9999.99,-9999.99
1996-1-40-Oa,1996,40,Oa,3.52,3.04,1.0132,25.1672,17.94,0.40,0.54,0.15,0.43,8.75,-9999.99,-9999.99
1996-1-40-Oie,1996,40,Oie,3.22,2.95,2.1863,45.2002,15.59,8.00,3.41,0.08,1.67,4.69,-9999.99,-9999.99
1996-1-42-Oa,1996,42,Oa,3.47,2.98,1.1741,27.1267,12.45,1.99,0.87,0.11,0.97,4.13,-9999.99,-9999.99
1996-1-42-Oie,1996,42,Oie,3.94,3.81,1.8844,41.9737,8.36,12.37,2.00,0.21,2.18,1.10,-9999.99,-9999.99
1996-1-44-Oa,1996,44,Oa,3.14,2.75,1.3598,27.1966,18.45,1.14,0.78,0.12,0.60,8.67,-9999.99,-9999.99
1996-1-44-Oie,1996,44,Oie,3.07,2.71,2.2089,49.9682,12.55,8.94,2.00,0.17,1.53,4.98,-9999.99,-9999.99
1996-1-47-Oa,1996,47,Oa,3.95,3.54,0.4902,8.0933,8.22,0.38,0.29,0.07,0.34,6.33,-9999.99,-9999.99
1996-1-47-Oie,1996,47,Oie,3.47,3.17,1.4989,30.7624,12.45,5.36,1.12,0.10,0.75,2.58,-9999.99,-9999.99
1996-1-50.1-Oa,1996,50.1,Oa,3.48,3.04,0.7395,16.1592,9.76,0.42,0.38,0.09,0.32,5.52,-9999.99,-9999.99
1996-1-50.1-Oie,1996,50.1,Oie,3.23,2.97,1.8686,46.9154,5.81,8.40,2.01,0.14,1.56,1.55,-9999.99,-9999.99
1996-1-50.2-Oa,1996,50.2,Oa,3.29,2.80,0.8344,20.2686,15.01,1.17,0.57,0.18,0.70,7.51,-9999.99,-9999.99
1996-1-50.2-Oie,1996,50.2,Oie,3.39,3.07,1.5979,38.4511,6.76,8.37,1.38,0.20,1.81,2.05,-9999.99,-9999.99
1996-1-51-Oa,1996,51,Oa,3.65,3.15,0.9308,20.3777,17.68,1.46,0.44,0.12,0.53,15.60,-9999.99,-9999.99
1996-1-51-Oie,1996,51,Oie,3.53,3.29,1.8507,40.8032,9.82,7.60,1.79,0.11,1.30,0.78,-9999.99,-9999.99
1996-1-54-Oa,1996,54,Oa,3.37,3.00,1.4315,25.9442,9.78,4.41,0.97,0.09,0.66,2.89,-9999.99,-9999.99
1996-1-54-Oie,1996,54,Oie,3.41,3.19,2.1242,47.9922,12.84,18.38,2.68,0.21,2.12,1.45,-9999.99,-9999.99
1996-1-58-Oa,1996,58,Oa,3.34,3.11,1.5970,35.3900,29.19,1.51,0.52,0.07,0.58,21.87,-9999.99,-9999.99
1996-1-58-Oie,1996,58,Oie,3.37,3.15,2.3307,45.9830,22.66,10.10,1.87,0.22,1.81,13.10,-9999.99,-9999.99
1996-1-61-Oa,1996,61,Oa,3.31,3.05,0.6740,13.5616,12.77,0.93,0.29,0.00,0.30,5.88,-9999.99,-9999.99
1996-1-61-Oie,1996,61,Oie,3.51,3.35,2.3288,45.8570,14.34,8.11,1.64,0.06,1.42,1.36,-9999.99,-9999.99
1996-1-64-Oa,1996,64,Oa,3.62,3.37,1.2537,24.2887,17.75,0.69,0.38,0.03,0.49,12.80,-9999.99,-9999.99
1996-1-64-Oie,1996,64,Oie,3.55,3.34,2.0314,49.8832,6.70,13.09,1.98,0.14,1.75,3.07,-9999.99,-9999.99
1996-1-65-Oa,1996,65,Oa,3.76,3.55,0.5705,11.6502,12.61,0.22,0.14,0.03,0.18,9.32,-9999.99,-9999.99
1996-1-65-Oie,1996,65,Oie,3.35,3.14,2.0540,45.2541,12.37,11.69,1.95,0.04,1.82,2.86,-9999.99,-9999.99
1996-1-68-Oa,1996,68,Oa,3.77,3.55,0.6558,11.1676,9.98,0.38,0.26,0.00,0.33,6.81,-9999.99,-9999.99
1996-1-68-Oie,1996,68,Oie,3.37,3.16,2.1362,42.9264,16.07,11.88,1.87,0.05,2.25,3.87,-9999.99,-9999.99
1996-1-71-Oa,1996,71,Oa,3.09,2.86,1.3297,43.2846,15.36,11.29,1.30,0.13,0.67,2.77,-9999.99,-9999.99
1996-1-71-Oie,1996,71,Oie,3.49,3.30,2.1494,49.9507,13.53,19.54,2.67,0.10,2.18,1.08,-9999.99,-9999.99
1996-1-73-Oa,1996,73,Oa,3.29,3.04,1.0139,20.2307,10.20,5.95,0.82,0.14,0.82,1.95,-9999.99,-9999.99
1996-1-73-Oie,1996,73,Oie,3.55,3.33,1.8871,49.9268,11.73,15.46,2.34,0.12,1.77,0.73,-9999.99,-9999.99
1996-1-75-Oa,1996,75,Oa,3.16,2.91,0.8420,16.6035,9.90,2.15,0.62,0.09,0.78,2.82,-9999.99,-9999.99
1996-1-75-Oie,1996,75,Oie,3.23,3.02,1.8438,40.5013,12.36,12.14,1.92,0.15,1.42,2.13,-9999.99,-9999.99
1996-1-77-Oa,1996,77,Oa,3.75,3.53,1.7343,45.0482,29.98,0.80,0.57,0.12,0.93,24.29,-9999.99,-9999.99
1996-1-77-Oie,1996,77,Oie,3.46,3.23,2.2517,53.3680,23.13,9.05,1.59,0.14,1.84,14.30,-9999.99,-9999.99
1996-1-81-Oa,1996,81,Oa,3.83,3.61,0.6817,11.3717,12.24,0.37,0.24,0.04,0.28,8.80,-9999.99,-9999.99
1996-1-81-Oie,1996,81,Oie,3.33,3.15,1.5065,28.3762,14.75,4.07,0.88,0.10,1.11,9.17,-9999.99,-9999.99
1996-1-85-Oa,1996,85,Oa,3.59,3.27,0.8872,16.3573,7.41,1.94,0.65,0.10,0.73,3.48,-9999.99,-9999.99
1996-1-85-Oie,1996,85,Oie,3.45,3.22,2.0041,40.8816,13.67,16.98,3.08,0.11,2.27,2.79,-9999.99,-9999.99
1996-1-88-Oa,1996,88,Oa,4.04,3.57,0.6771,10.3595,4.89,2.06,0.53,0.08,0.38,2.39,-9999.99,-9999.99
1996-1-88-Oie,1996,88,Oie,3.53,3.33,2.0134,44.6033,13.41,17.21,2.89,0.29,2.16,2.66,-9999.99,-9999.99
1996-1-91-Oa,1996,91,Oa,3.16,2.80,1.5953,47.9112,16.15,5.24,1.57,0.19,0.95,4.72,-9999.99,-9999.99
1996-1-91-Oie,1996,91,Oie,3.23,3.02,2.3071,53.2181,17.29,14.11,4.09,0.17,1.52,2.14,-9999.99,-9999.99
1996-1-93-Oa,1996,93,Oa,3.22,2.91,0.9760,19.0310,9.74,3.04,0.77,0.13,0.56,2.87,-9999.99,-9999.99
1996-1-93-Oie,1996,93,Oie,3.45,3.21,2.2277,51.6664,15.31,15.37,3.66,0.22,3.73,1.15,-9999.99,-9999.99
1996-1-96-Oa,1996,96,Oa,3.67,3.48,1.2963,23.0551,14.25,1.00,0.60,0.14,0.71,13.40,-9999.99,-9999.99
1996-1-96-Oie,1996,96,Oie,3.60,3.37,2.1354,48.4410,21.04,13.44,2.18,0.14,1.86,13.81,-9999.99,-9999.99
1996-1-101-Oa,1996,101,Oa,3.33,2.99,1.3332,27.6502,13.29,6.10,1.17,0.15,0.69,5.46,-9999.99,-9999.99
1996-1-101-Oie,1996,101,Oie,3.34,3.09,2.1546,47.8895,14.57,18.30,2.67,0.26,1.80,2.15,-9999.99,-9999.99
1996-1-104-Oa,1996,104,Oa,3.60,3.27,1.2507,25.2774,17.81,3.52,0.81,0.16,0.76,17.43,-9999.99,-9999.99
1996-1-104-Oie,1996,104,Oie,3.51,3.32,2.3287,50.0949,16.31,15.85,2.34,0.25,2.11,5.39,-9999.99,-9999.99
1996-1-105-Oa,1996,105,Oa,3.91,3.66,0.3613,7.5201,6.81,0.31,0.11,0.04,0.19,6.18,-9999.99,-9999.99
1996-1-105-Oie,1996,105,Oie,3.58,3.35,1.7127,37.5305,12.13,13.70,2.30,0.11,1.59,4.29,-9999.99,-9999.99
