"","date","datetime","site","precip","Ca","Mg","K","Na","Al","NH4","pH","SO4","NO3","Cl","PO4","SiO2","sp.cond","note","canonical"
"1",1963-07-10,NA,"S",NA,0.3,0.07,0.1,0.07,NA,NA,4.25,NA,NA,NA,NA,NA,NA,0,TRUE
"2",1963-07-16,NA,"S",NA,0.19,0.03,0.1,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"3",1963-07-24,NA,"S",NA,0.35,0.04,0.11,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"4",1963-08-01,NA,"S",NA,0.29,0.1,0.16,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"5",1963-08-07,NA,"S",NA,0.14,0.02,0.06,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"6",1963-08-14,NA,"S",NA,0.12,0.03,0.04,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"7",1963-08-21,NA,"S",NA,0.14,0.03,0.09,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"8",1963-08-28,NA,"S",NA,0.54,0.12,0.09,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"9",1963-08-30,NA,"S",NA,0.15,0.06,0.19,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"10",1963-09-04,NA,"S",NA,0.13,0.04,0.12,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"11",1963-09-30,NA,"S",NA,0.21,0.09,0.57,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"12",1963-10-07,NA,"S",NA,0.43,0.09,0.9,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"13",1963-11-01,NA,"S",NA,0.75,0.16,0.88,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"14",1963-11-04,NA,"S",NA,0.65,0.28,1.66,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
"15",1963-11-07,NA,"S",NA,0.11,0.16,0.66,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,TRUE
