"","ws","datetime","date","Ca","Mg","K","Na","Al","NH4","pH","SO4","NO3","Cl","PO4","DIC","SiO2","ANC","sp.cond","temp","Q","hydro.limb","canonical","note"
"1",1,1963-06-01 12:00:00,1963-06-01,2.192,0.35,0.05,0.92,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"L",TRUE,0
"2",1,1963-06-25 12:00:00,1963-06-25,2.192,0.35,0.05,0.92,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,"L",TRUE,0
"3",1,1963-07-10 12:00:00,1963-07-10,2.032,0.35,0.05,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,"L",TRUE,0
"4",1,1963-07-15 12:00:00,1963-07-15,2.352,0.41,0.09,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,"L",TRUE,0
"5",1,1963-08-14 14:30:00,1963-08-14,2.064,0.38,0.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,"L",TRUE,0
"6",1,1963-08-26 12:00:00,1963-08-26,1.904,0.41,0.04,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,"L",TRUE,0
"7",1,NA,1963-11-01,2,0.54,2.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",TRUE,0
"8",1,1963-11-04 10:00:00,1963-11-04,1.408,0.54,0.77,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,"L",TRUE,0
"9",1,1963-11-06 08:10:00,1963-11-06,1.744,0.57,0.8,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,"L",TRUE,0
"10",1,NA,1963-11-09,2.672,0.5,1,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",TRUE,0
"11",1,1963-11-11 09:25:00,1963-11-11,2.48,0.48,0.58,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73,"L",TRUE,0
"12",1,1963-11-18 09:15:00,1963-11-18,2.512,0.44,0.34,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,"L",TRUE,0
"13",1,1963-11-25 09:25:00,1963-11-25,2.192,0.41,0.25,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.99,"L",TRUE,0
"14",1,1963-12-02 09:35:00,1963-12-02,1.632,0.4,0.3,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,"L",TRUE,0
"15",1,1963-12-09 09:45:00,1963-12-09,1.6,0.4,0.32,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.11,"R",TRUE,0
"16",1,1963-12-16 10:00:00,1963-12-16,1.568,0.4,0.24,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,"L",TRUE,0
"17",1,1963-12-23 11:45:00,1963-12-23,1.68,0.4,0.19,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,"L",TRUE,0
"18",1,1963-12-30 12:30:00,1963-12-30,1.632,0.43,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,"L",TRUE,0
"19",1,1964-01-13 13:35:00,1964-01-13,1.584,0.41,0.2,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,"L",TRUE,0
"20",1,1964-01-20 12:05:00,1964-01-20,1.712,0.38,0.17,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"L",TRUE,0
"21",1,1964-01-27 12:00:00,1964-01-27,1.776,0.38,0.25,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34,"R",TRUE,0
"22",1,1964-02-03 16:25:00,1964-02-03,1.696,0.4,0.24,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,"L",TRUE,0
"23",1,1964-02-10 15:10:00,1964-02-10,1.776,0.38,0.24,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,"L",TRUE,0
"24",1,1964-02-17 12:15:00,1964-02-17,1.808,0.38,0.21,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,"L",TRUE,0
"25",1,1964-02-24 12:50:00,1964-02-24,1.76,0.4,0.22,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,"L",TRUE,0
"26",1,1964-03-02 14:00:00,1964-03-02,1.824,0.43,0.21,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56,"L",TRUE,0
"27",1,1964-03-05 10:00:00,1964-03-05,2,0.43,0.36,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.45,"F",TRUE,0
"28",1,1964-03-09 12:30:00,1964-03-09,1.376,0.41,0.28,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.97,"L",TRUE,0
"29",1,1964-03-16 12:50:00,1964-03-16,1.968,0.41,0.28,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12,"L",TRUE,0
"30",1,1964-03-23 13:00:00,1964-03-23,1.648,0.41,0.27,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36,"L",TRUE,0
"31",1,1964-03-30 12:05:00,1964-03-30,1.568,0.42,0.28,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,"L",TRUE,0
"32",1,1964-04-06 13:00:00,1964-04-06,1.584,0.43,0.25,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,"L",TRUE,0
"33",1,1964-04-13 12:25:00,1964-04-13,1.856,0.38,0.3,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.81,"R",TRUE,0
"34",1,1964-04-27 08:30:00,1964-04-27,1.664,0.37,0.33,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,"L",TRUE,0
"35",1,1964-05-04 09:45:00,1964-05-04,1.696,0.38,0.3,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73,"L",TRUE,0
"36",1,1964-05-11 08:50:00,1964-05-11,1.536,0.37,0.29,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,"L",TRUE,0
"37",1,1964-05-18 08:35:00,1964-05-18,1.968,0.38,0.22,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08,"L",TRUE,0
"38",1,1964-05-25 08:50:00,1964-05-25,2.128,0.38,0.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,"L",TRUE,0
"39",1,1964-06-01 08:35:00,1964-06-01,1.552,0.37,0.08,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,"L",TRUE,0
"40",1,1965-05-03 08:45:00,1965-05-03,1.408,0.36,0.27,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.08,"L",TRUE,0
"41",1,1965-05-10 09:55:00,1965-05-10,1.392,0.36,0.23,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.53,"L",TRUE,0
"42",1,1965-05-17 08:50:00,1965-05-17,1.408,0.37,0.23,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,"L",TRUE,0
"43",1,1965-05-24 09:30:00,1965-05-24,1.44,0.39,0.16,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,"L",TRUE,0
"44",1,1965-06-01 08:50:00,1965-06-01,1.44,0.39,0.06,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,"L",TRUE,0
"45",1,1965-06-07 10:35:00,1965-06-07,1.216,0.37,0.04,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,"L",TRUE,0
"46",1,1965-06-14 10:25:00,1965-06-14,1.184,0.39,0.09,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,"R",TRUE,0
"47",1,1965-06-21 16:00:00,1965-06-21,1.504,0.38,0.05,0.96,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,31,12.1,0.09,"L",TRUE,2
"48",1,1965-06-28 13:45:00,1965-06-28,1.536,0.38,0.03,1,NA,NA,5.3,NA,NA,NA,NA,NA,NA,NA,30.1,12.9,0.05,"L",TRUE,0
"49",1,1965-07-06 15:00:00,1965-07-06,1.52,0.38,0.06,0.97,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,26.1,12.2,0.31,"L",TRUE,0
"50",1,1965-07-12 11:30:00,1965-07-12,1.552,0.39,0.08,1.04,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0.03,"L",TRUE,0
"51",1,1965-07-19 13:15:00,1965-07-19,1.392,0.37,0.05,0.92,NA,NA,5.2,NA,NA,NA,NA,NA,NA,NA,26.8,13.6,0.24,"L",TRUE,0
"52",1,1965-07-26 13:00:00,1965-07-26,1.6,0.43,0.12,1.16,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,28.4,17.2,0.01,"L",TRUE,0
"53",1,1965-08-09 12:40:00,1965-08-09,1.296,0.37,0.04,0.9,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,31.1,15.2,0.11,"L",TRUE,0
