Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea
1996,1,1,1,ACSA,1,1,0,19.4,3,175.89,37.72,1,625.00,0.00
1996,1,1,1,ACSA,1,2,0,15.8,0,103.35,23.55,1,625.00,0.00
1996,1,1,1,ACSA,1,3,0,16.1,0,108.52,24.60,1,625.00,0.00
1996,1,1,1,FAGR,2,4,0,15.4,5,24.61,3.21,1,625.00,0.00
1996,1,1,1,BEAL,3,5,0,30.8,0,542.02,110.80,1,625.00,0.00
1996,1,1,1,BEAL,3,6,0,33.6,0,674.66,136.30,1,625.00,0.00
1996,1,1,1,BEAL,3,7,0,62.0,4,1397.23,131.44,1,625.00,0.00
1996,1,1,1,BEAL,3,8,0,44.7,5,277.37,37.47,1,625.00,0.00
1996,1,1,1,PIRU,10,9,0,12.0,0,37.22,13.19,1,625.00,0.00
1996,1,1,1,PIRU,10,10,0,22.9,0,145.07,49.63,1,625.00,0.00
1996,1,1,1,PIRU,10,11,0,28.0,0,219.03,73.90,1,625.00,0.00
1996,1,1,1,PIRU,10,12,0,23.2,0,149.03,50.94,1,625.00,0.00
1996,1,1,1,PIRU,10,13,0,33.8,0,319.72,106.39,1,625.00,0.00
1996,1,1,1,PIRU,10,14,0,2.6,0,1.54,0.55,1,0.00,75.00
1996,1,1,1,ABBA,9,15,0,15.2,0,51.42,18.62,1,625.00,0.00
1996,1,1,1,ABBA,9,16,0,15.1,0,50.58,18.35,1,625.00,0.00
1996,1,1,1,BEPA,11,17,0,32.5,0,593.90,120.82,1,625.00,0.00
1996,1,1,1,BEPA,11,18,0,26.9,0,385.29,80.12,1,625.00,0.00
1996,1,1,1,BEPA,11,19,0,22.1,0,243.12,51.61,1,625.00,0.00
1996,1,1,1,BEPA,11,20,0,24.2,0,301.16,63.34,1,625.00,0.00
1996,1,1,1,BEPA,11,21,0,15.6,0,104.46,22.89,1,625.00,0.00
1996,1,1,1,BEPA,11,22,0,24.2,0,301.16,63.34,1,625.00,0.00
1996,1,1,1,BEPA,11,23,0,32.1,0,577.47,117.65,1,625.00,0.00
1996,1,1,1,BEPA,11,24,0,19.5,0,180.23,38.73,1,625.00,0.00
1996,1,1,1,BEPA,11,25,0,30.7,0,521.81,106.88,1,625.00,0.00
1996,1,1,1,BEPA,11,26,0,28.0,0,422.63,87.49,1,625.00,0.00
1996,1,1,1,BEPA,11,26,0,21.7,0,232.80,49.51,1,625.00,0.00
1996,1,1,1,ACRU,13,27,0,2.7,3,1.11,0.34,1,0.00,75.00
1996,1,1,1,ACRU,13,28,0,2.9,4,0.88,0.10,1,0.00,75.00
1996,1,1,1,ACPE,6,29,0,2.1,0,0.65,0.40,1,0.00,75.00
1996,1,2,1,ACSA,1,30,0,5.6,0,6.97,1.97,1,0.00,75.00
1996,1,2,1,ACSA,1,31,0,2.3,0,0.75,0.23,1,0.00,75.00
1996,1,2,1,FAGR,2,32,0,35.9,4,310.00,29.26,1,625.00,0.00
1996,1,2,1,FAGR,2,33,0,25.3,0,274.09,61.96,1,625.00,0.00
1996,1,2,1,FAGR,2,34,0,2.6,0,1.51,0.46,1,0.00,75.00
1996,1,2,1,FAGR,2,35,0,3.8,0,3.63,1.06,1,0.00,75.00
1996,1,2,1,FAGR,2,36,0,2.2,0,1.04,0.32,1,0.00,75.00
1996,1,2,1,FAGR,2,37,0,3.2,0,2.44,0.72,1,0.00,75.00
1996,1,2,1,BEAL,3,38,0,18.5,0,144.35,31.28,1,625.00,0.00
1996,1,2,1,BEAL,3,39,0,10.8,0,33.95,7.66,1,625.00,0.00
1996,1,2,1,BEAL,3,40,0,14.2,0,71.16,15.77,1,625.00,0.00
1996,1,2,1,BEAL,3,41,0,21.6,0,217.21,46.33,1,625.00,0.00
1996,1,2,1,BEAL,3,42,0,10.1,0,28.30,6.41,1,625.00,0.00
1996,1,2,1,BEAL,3,43,0,36.4,0,823.50,164.51,1,625.00,0.00
1996,1,2,1,BEAL,3,43,0,30.6,0,533.16,109.08,1,625.00,0.00
1996,1,2,1,BEAL,3,44,0,16.1,0,99.68,21.87,1,625.00,0.00
1996,1,2,1,BEAL,3,45,0,19.8,4,93.05,9.02,1,625.00,0.00
1996,1,2,1,PIRU,10,46,0,20.0,0,109.50,37.78,1,625.00,0.00
1996,1,2,1,PIRU,10,47,0,10.7,4,15.55,2.52,1,625.00,0.00
1996,1,2,1,PIRU,10,48,0,15.8,0,66.73,23.34,1,625.00,0.00
1996,1,2,1,PIRU,10,49,0,19.9,0,108.36,37.40,1,625.00,0.00
1996,1,2,1,PIRU,10,50,0,13.7,4,26.53,4.22,1,625.00,0.00
1996,1,2,1,PIRU,10,51,0,27.9,0,217.45,73.38,1,625.00,0.00
1996,1,2,1,PIRU,10,52,0,10.6,4,15.24,2.47,1,625.00,0.00
1996,1,2,1,PIRU,10,53,0,16.2,0,70.35,24.57,1,625.00,0.00
1996,1,2,1,PIRU,10,54,0,10.9,0,30.33,10.79,1,625.00,0.00
1996,1,2,1,PIRU,10,55,0,21.6,0,128.53,44.14,1,625.00,0.00
1996,1,2,1,PIRU,10,56,0,25.8,0,185.39,62.91,1,625.00,0.00
1996,1,2,1,PIRU,10,57,0,15.2,5,15.58,3.06,1,625.00,0.00
1996,1,2,1,PIRU,10,58,0,12.0,0,37.22,13.19,1,625.00,0.00
1996,1,2,1,PIRU,10,59,0,8.9,0,19.69,7.06,1,0.00,75.00
1996,1,2,1,ABBA,9,60,0,16.3,0,61.35,21.75,1,625.00,0.00
1996,1,2,1,ABBA,9,61,0,22.7,5,37.55,6.50,1,625.00,0.00
1996,1,2,1,ABBA,9,62,0,25.5,4,108.93,14.43,1,625.00,0.00
1996,1,2,1,ABBA,9,63,0,19.5,0,96.88,32.49,1,625.00,0.00
1996,1,2,1,ABBA,9,64,0,6.5,0,6.55,2.94,1,0.00,75.00
1996,1,2,1,BEPA,11,65,0,22.7,0,259.05,54.85,1,625.00,0.00
1996,1,2,1,BEPA,11,66,0,14.2,0,82.65,18.24,1,625.00,0.00
1996,1,2,1,BEPA,11,67,0,22.2,0,245.74,52.15,1,625.00,0.00
1996,1,2,1,BEPA,11,68,0,18.0,0,148.46,32.13,1,625.00,0.00
1996,1,2,1,BEPA,11,69,0,15.8,0,107.81,23.59,1,625.00,0.00
1996,1,2,1,BEPA,11,70,0,11.3,0,46.35,10.39,1,625.00,0.00
1996,1,2,1,BEPA,11,71,0,24.2,0,301.16,63.34,1,625.00,0.00
1996,1,2,1,BEPA,11,72,0,19.6,0,182.47,39.19,1,625.00,0.00
1996,1,2,1,BEPA,11,73,0,16.3,0,116.43,25.42,1,625.00,0.00
1996,1,2,1,BEPA,11,74,0,13.2,0,68.79,15.26,1,625.00,0.00
1996,1,2,1,BEPA,11,75,0,27.1,0,391.94,81.43,1,625.00,0.00
1996,1,2,1,BEPA,11,76,0,20.0,0,191.56,41.06,1,625.00,0.00
1996,1,2,1,BEPA,11,77,0,14.3,0,84.12,18.55,1,625.00,0.00
1996,1,2,1,ACPE,6,78,0,10.8,5,8.54,1.14,1,625.00,0.00
1996,1,2,1,ACPE,6,79,0,3.0,0,1.53,0.76,1,0.00,75.00
1996,1,2,1,ACPE,6,80,0,4.1,0,3.32,1.35,1,0.00,75.00
1996,1,3,1,ACSA,1,81,0,20.6,0,205.32,43.20,1,625.00,0.00
1996,1,3,1,FAGR,2,82,0,26.1,0,292.61,65.85,1,625.00,0.00
1996,1,3,1,FAGR,2,83,0,28.7,4,198.91,19.19,1,625.00,0.00
1996,1,3,1,BEAL,3,84,0,28.5,0,445.04,91.89,1,625.00,0.00
1996,1,3,1,BEAL,3,85,0,24.9,4,165.91,16.01,1,625.00,0.00
1996,1,3,1,BEAL,3,86,0,22.2,0,233.37,49.63,1,625.00,0.00
1996,1,3,1,BEAL,3,87,0,10.7,4,18.58,1.81,1,625.00,0.00
1996,1,3,1,BEAL,3,88,0,28.8,0,457.08,94.25,1,625.00,0.00
1996,1,3,1,BEAL,3,89,0,10.6,0,32.27,7.29,1,625.00,0.00
1996,1,3,1,BEAL,3,90,0,22.9,0,253.08,53.64,1,625.00,0.00
1996,1,3,1,BEAL,3,91,0,19.6,0,168.20,36.24,1,625.00,0.00
1996,1,3,1,BEAL,3,92,0,11.8,0,43.16,9.69,1,625.00,0.00
1996,1,3,1,BEAL,3,93,0,20.6,0,191.78,41.11,1,625.00,0.00
1996,1,3,1,BEAL,3,94,0,12.0,0,45.17,10.13,1,625.00,0.00
1996,1,3,1,BEAL,3,95,0,39.3,0,994.89,196.55,1,625.00,0.00
1996,1,3,1,BEAL,3,96,0,11.8,0,43.16,9.69,1,625.00,0.00
1996,1,3,1,BEAL,3,96,0,15.1,0,83.94,18.52,1,625.00,0.00
1996,1,3,1,BEAL,3,97,0,31.0,5,120.09,15.99,1,625.00,0.00
1996,1,3,1,BEAL,3,98,0,25.3,0,327.80,68.68,1,625.00,0.00
1996,1,3,1,BEAL,3,99,0,17.8,5,30.95,4.03,1,625.00,0.00
1996,1,3,1,PIRU,10,100,0,15.8,0,66.73,23.34,1,625.00,0.00
1996,1,3,1,PIRU,10,101,0,10.7,0,29.15,10.38,1,625.00,0.00
1996,1,3,1,PIRU,10,102,0,17.1,4,42.64,6.66,1,625.00,0.00
1996,1,3,1,PIRU,10,103,0,20.9,4,65.16,10.02,1,625.00,0.00
1996,1,3,1,PIRU,10,104,0,11.0,0,30.92,11.00,1,625.00,0.00
1996,1,3,1,PIRU,10,105,0,26.1,0,189.83,64.36,1,625.00,0.00
1996,1,3,1,PIRU,10,106,0,27.3,0,208.05,70.32,1,625.00,0.00
1996,1,3,1,PIRU,10,107,0,16.1,0,69.43,24.26,1,625.00,0.00
1996,1,3,1,PIRU,10,108,0,11.5,0,33.99,12.07,1,625.00,0.00
1996,1,3,1,PIRU,10,109,0,28.2,0,222.22,74.93,1,625.00,0.00
1996,1,3,1,PIRU,10,110,0,27.9,0,217.45,73.38,1,625.00,0.00
1996,1,3,1,PIRU,10,111,0,15.2,0,61.48,21.55,1,625.00,0.00
1996,1,3,1,PIRU,10,112,0,11.6,0,34.63,12.29,1,625.00,0.00
1996,1,3,1,PIRU,10,113,0,12.2,0,38.55,13.66,1,625.00,0.00
