Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB,AnalysisCode
2006,1,1,1,BEAL,3,1,746,30.8,0,626.37,127.06,1.00,625.00,0.00,H,
2006,1,1,1,ABBA,9,2,747,37.6,0,571.52,151.96,1.00,625.00,0.00,H,
2006,1,1,1,BEAL,3,3,748,40.5,5,251.93,33.97,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,4,749,34.6,0,761.68,152.84,1.00,625.00,0.00,H,
2006,1,1,1,BEAL,3,5,750,21.5,5,57.42,7.55,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,6,751,24.0,4,221.33,16.23,1.00,625.00,0.00,H,
2006,1,1,1,PIRU,10,7,752,23.9,0,176.87,60.12,1.00,625.00,0.00,H,
2006,1,1,1,BEAL,3,8,753,36.0,0,921.06,182.80,1.00,625.00,0.00,H,
2006,1,1,1,PIRU,10,9,754,30.6,0,294.14,98.19,1.00,625.00,0.00,H,
2006,1,1,1,ABBA,9,10,755,10.7,0,23.91,9.45,1.00,625.00,0.00,H,
2006,1,1,1,ACPE,6,11,756,14.5,0,93.23,13.72,1.00,625.00,0.00,H,
2006,1,1,1,PIRU,10,12,757,36.5,0,419.45,138.11,1.00,625.00,0.00,H,
2006,1,1,1,BEAL,3,13,758,11.5,0,47.39,10.61,1.00,625.00,0.00,H,
2006,1,1,1,PIRU,10,14,759,22.3,0,153.05,52.27,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,15,760,29.0,4,341.80,25.03,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,16,761,19.9,0,201.00,43.01,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,17,762,11.4,3,48.14,10.78,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,18,763,32.9,0,677.23,136.79,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,19,764,25.5,0,369.51,76.99,1.00,625.00,0.00,H,
2006,1,1,1,ABBA,9,20,765,16.4,0,67.96,23.80,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,21,766,34.6,0,761.68,152.84,1.00,625.00,0.00,H,
2006,1,1,1,BEPA,11,22,767,15.5,4,77.33,5.67,1.00,625.00,0.00,H,
