Year,Watershed,Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB
2011,1,1,1,BEAL,3,1,746,35.2,0,871.71,173.57,1.00,625.00,0.00,H
2011,1,1,1,ABBA,9,2,747,34.4,5,123.25,17.65,1.00,625.00,0.00,H
2011,1,1,1,BEAL,3,3,748,39.1,5,232.96,31.37,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,4,749,35.5,0,808.47,161.68,1.00,625.00,0.00,H
2011,1,1,1,BEAL,3,5,750,21.6,5,58.08,7.64,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,6,751,24.9,5,78.34,10.35,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,7,752,25.4,0,200.69,67.92,1.00,625.00,0.00,H
2011,1,1,1,BEAL,3,8,753,38.7,0,1098.48,215.71,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,9,754,33.4,0,351.15,116.44,1.00,625.00,0.00,H
2011,1,1,1,ABBA,9,10,755,13.0,0,38.30,14.35,1.00,625.00,0.00,H
2011,1,1,1,ACPE,6,11,756,14.8,0,98.55,14.23,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,12,757,39.9,0,500.35,163.58,1.00,625.00,0.00,H
2011,1,1,1,BEAL,3,13,758,14.0,0,80.55,17.79,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,14,759,25.4,0,200.69,67.92,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,15,760,28.8,5,108.62,14.44,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,16,761,20.1,5,47.76,6.26,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,17,762,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,18,763,33.0,4,456.57,33.40,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,19,764,26.0,4,266.41,19.52,1.00,625.00,0.00,H
2011,1,1,1,ABBA,9,20,765,19.4,0,103.61,34.46,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,21,766,34.4,5,160.25,21.44,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,22,767,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,23,768,25.8,5,84.91,11.24,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,24,769,29.2,0,267.36,89.57,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,25,770,14.7,0,63.29,22.17,1.00,625.00,0.00,H
2011,1,1,1,BEAL,3,26,771,34.2,0,812.07,162.36,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,27,772,28.3,5,104.48,13.88,1.00,625.00,0.00,H
2011,1,1,1,ABBA,9,28,773,26.5,0,229.77,69.02,1.00,625.00,0.00,H
2011,1,1,1,BEPA,11,29,774,25.4,5,81.96,10.84,1.00,625.00,0.00,H
2011,1,1,1,ACSA,1,30,775,20.7,0,258.74,52.84,1.00,625.00,0.00,H
2011,1,1,1,BEAL,3,31,776,20.3,0,215.74,46.03,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,32,8596,12.8,0,47.05,16.60,1.00,625.00,0.00,H
2011,1,1,1,PIRU,10,33,0,5.7,0,8.31,3.01,1.00,0.00,74.10,H
2011,1,2,1,BEPA,11,34,6070,31.6,4,414.57,30.34,1.00,625.00,0.00,H
2011,1,2,1,PRPE,7,35,6071,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,2,1,FAGR,2,36,6072,28.2,0,387.90,85.57,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,37,6073,14.7,5,16.04,3.15,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,38,6074,21.0,0,134.94,46.27,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,39,6075,17.1,0,87.39,30.35,1.00,625.00,0.00,H
2011,1,2,1,ABBA,9,40,6076,14.7,0,51.80,18.74,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,41,6077,24.5,0,186.23,63.19,1.00,625.00,0.00,H
2011,1,2,1,FAGR,2,42,6078,27.5,0,367.80,81.44,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,43,6079,20.8,0,132.25,45.38,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,44,6080,11.5,0,37.38,13.25,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,45,6081,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,46,6082,15.2,4,73.68,5.41,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,47,6083,20.9,0,133.59,45.82,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,48,6084,18.1,0,98.60,34.13,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,49,6085,14.8,5,22.90,2.96,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,50,6086,20.2,4,147.35,10.81,1.00,625.00,0.00,H
2011,1,2,1,PRPE,7,51,6087,0.0,6,0.00,0.00,1.00,625.00,0.00,H
2011,1,2,1,PIRU,10,52,6088,12.9,5,12.10,2.40,1.00,625.00,0.00,H
2011,1,2,1,BEPA,11,53,6089,12.9,0,66.51,14.77,1.00,625.00,0.00,H
