Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea
1,1,FAGR,2,1,0,26.6,0,333.61,74.39,1,625.00,0.00
1,1,BEAL,3,2,0,38.8,4,525.26,50.11,1,625.00,0.00
1,1,BEAL,3,3,0,27.7,0,452.48,93.35,1,625.00,0.00
1,1,BEAL,3,4,0,18.5,0,158.45,34.21,1,625.00,0.00
1,1,ABBA,9,5,0,15.8,0,56.70,20.29,1,625.00,0.00
1,1,ABBA,9,6,0,13.8,0,40.35,15.03,1,625.00,0.00
1,1,ABBA,9,7,0,11.6,0,26.21,10.25,1,625.00,0.00
1,1,ABBA,9,8,0,15.7,0,55.80,20.01,1,625.00,0.00
1,1,ABBA,9,9,0,16.2,0,60.40,21.46,1,625.00,0.00
1,1,ABBA,9,10,0,17.0,4,36.84,5.79,1,625.00,0.00
1,1,ABBA,9,11,0,12.1,0,29.09,11.25,1,625.00,0.00
1,1,ABBA,9,12,0,33.5,5,107.47,15.73,1,625.00,0.00
1,1,ABBA,9,13,0,19.0,0,90.65,30.65,1,625.00,0.00
1,1,ABBA,9,14,0,18.7,4,47.46,7.17,1,625.00,0.00
1,1,ABBA,9,15,0,15.4,0,53.15,19.17,1,625.00,0.00
1,1,ABBA,9,16,0,10.2,0,19.13,7.74,1,625.00,0.00
1,1,ABBA,9,17,0,11.9,0,27.92,10.84,1,625.00,0.00
1,1,ABBA,9,18,0,12.9,0,34.10,12.95,1,625.00,0.00
1,1,ABBA,9,19,0,10.5,0,20.53,8.24,1,625.00,0.00
1,1,ABBA,9,20,0,14.2,0,43.34,16.01,1,625.00,0.00
1,1,ABBA,9,21,0,12.8,0,33.45,12.73,1,625.00,0.00
1,1,ABBA,9,22,0,10.2,0,19.13,7.74,1,625.00,0.00
1,1,ABBA,9,23,0,11.5,0,25.66,10.06,1,625.00,0.00
1,1,ABBA,9,24,0,14.9,0,48.91,17.81,1,625.00,0.00
1,1,ABBA,9,25,0,14.0,0,41.83,15.51,1,625.00,0.00
1,1,ABBA,9,26,0,11.2,0,24.04,9.49,1,625.00,0.00
1,1,ABBA,9,27,0,11.0,0,23.00,9.12,1,625.00,0.00
1,1,ABBA,9,28,0,17.0,0,68.26,23.89,1,625.00,0.00
1,1,ABBA,9,29,0,21.7,0,127.55,41.33,1,625.00,0.00
1,1,ABBA,9,30,0,11.6,0,26.21,10.25,1,625.00,0.00
1,1,ABBA,9,31,0,10.1,0,18.67,7.57,1,625.00,0.00
1,1,ABBA,9,32,0,10.7,0,21.50,8.59,1,625.00,0.00
1,1,ABBA,9,33,0,14.8,5,12.01,2.49,1,625.00,0.00
1,1,ABBA,9,34,0,11.5,0,25.66,10.06,1,625.00,0.00
1,1,ABBA,9,35,0,23.6,4,88.45,12.11,1,625.00,0.00
1,1,ABBA,9,36,0,12.3,0,30.30,11.66,1,625.00,0.00
1,1,ABBA,9,37,0,14.6,0,46.47,17.03,1,625.00,0.00
1,1,PIRU,10,38,0,16.2,0,70.35,24.57,1,625.00,0.00
1,1,PIRU,10,39,0,20.9,0,120.02,41.30,1,625.00,0.00
1,1,PIRU,10,40,0,14.0,0,51.65,18.18,1,625.00,0.00
1,1,PIRU,10,41,0,20.3,0,112.96,38.94,1,625.00,0.00
1,1,PIRU,10,42,0,14.7,4,30.86,4.88,1,625.00,0.00
1,1,PIRU,10,43,0,31.4,0,276.00,92.35,1,625.00,0.00
1,1,PIRU,10,44,0,11.7,0,35.27,12.52,1,625.00,0.00
1,1,PIRU,10,45,0,24.5,4,90.72,13.77,1,625.00,0.00
1,1,PIRU,10,46,0,13.6,0,48.57,17.12,1,625.00,0.00
1,1,PIRU,10,47,0,12.0,0,37.22,13.19,1,625.00,0.00
1,1,BEPA,11,48,0,17.2,0,132.86,28.87,1,625.00,0.00
1,1,BEPA,11,49,0,17.9,0,146.46,31.72,1,625.00,0.00
1,1,BEPA,11,50,0,14.5,0,87.09,19.19,1,625.00,0.00
1,1,BEPA,11,51,0,13.8,0,76.94,17.01,1,625.00,0.00
1,1,BEPA,11,52,0,12.3,0,57.53,12.82,1,625.00,0.00
1,1,BEPA,11,53,0,11.0,0,43.26,9.71,1,625.00,0.00
1,1,BEPA,11,54,0,10.3,0,36.53,8.23,1,625.00,0.00
1,1,BEPA,11,55,0,14.0,0,79.77,17.62,1,625.00,0.00
1,1,BEPA,11,56,0,14.3,0,84.12,18.55,1,625.00,0.00
1,1,BEPA,11,57,0,12.0,0,54.03,12.06,1,625.00,0.00
1,1,BEPA,11,58,0,14.2,0,82.65,18.24,1,625.00,0.00
1,1,BEPA,11,59,0,18.2,0,152.51,32.98,1,625.00,0.00
1,1,BEPA,11,60,0,14.8,0,91.65,20.16,1,625.00,0.00
1,1,BEPA,11,61,0,15.1,0,96.35,21.16,1,625.00,0.00
1,1,BEPA,11,62,0,14.5,0,87.09,19.19,1,625.00,0.00
1,1,BEPA,11,63,0,20.6,0,205.63,43.96,1,625.00,0.00
1,1,BEPA,11,64,0,24.7,0,315.93,66.31,1,625.00,0.00
1,1,BEPA,11,65,0,21.2,0,220.23,46.95,1,625.00,0.00
1,1,BEPA,11,66,0,19.0,0,169.28,36.46,1,625.00,0.00
1,1,BEPA,11,67,0,13.4,0,71.45,15.83,1,625.00,0.00
1,1,BEPA,11,68,0,17.6,0,140.54,30.48,1,625.00,0.00
1,1,BEPA,11,69,0,11.5,0,48.48,10.85,1,625.00,0.00
1,1,BEPA,11,70,0,13.7,0,75.54,16.71,1,625.00,0.00
1,1,BEPA,11,71,0,13.6,0,74.17,16.42,1,625.00,0.00
1,1,BEPA,11,72,0,12.0,0,54.03,12.06,1,625.00,0.00
1,1,BEPA,11,73,0,21.0,0,215.31,45.94,1,625.00,0.00
1,1,BEPA,11,74,0,15.3,0,99.55,21.84,1,625.00,0.00
1,1,BEPA,11,75,0,17.5,0,138.60,30.07,1,625.00,0.00
1,1,BEPA,11,76,0,12.2,0,56.35,12.57,1,625.00,0.00
1,1,BEPA,11,77,0,10.5,0,38.39,8.64,1,625.00,0.00
1,1,BEPA,11,78,0,12.9,0,64.91,14.42,1,625.00,0.00
1,1,BEPA,11,79,0,10.0,0,33.85,7.64,1,625.00,0.00
1,1,BEPA,11,80,0,13.3,0,70.12,15.55,1,625.00,0.00
1,1,BEPA,11,81,0,17.7,0,142.50,30.89,1,625.00,0.00
1,1,BEPA,11,82,0,17.2,0,132.86,28.87,1,625.00,0.00
