Plot,Zone,Species,SppNum,Seq,Tag,Dbh,Vigor,AbvBmss,BlwBmss,TwotoTen,10Area,TwotoTenArea,ElevB,AnalysisCode
1,1,ABBA,9,1,0,16.0,5,16.19,3.20,1,625.00,0.00,H,
1,1,PIRU,10,2,0,11.5,5,9.43,1.88,1,625.00,0.00,H,
1,1,PIRU,10,3,0,24.2,4,132.89,14.95,1,625.00,0.00,H,
1,1,BEPA,11,4,0,10.3,4,27.49,2.01,1,625.00,0.00,H,
1,1,ABBA,9,5,229,15.8,0,61.94,21.94,1,625.00,0.00,H,
1,1,BEPA,11,6,230,19.0,0,179.04,38.48,1,625.00,0.00,H,
1,1,BEPA,11,7,241,15.1,0,99.94,21.93,1,625.00,0.00,H,
1,1,BEPA,11,8,242,17.6,0,147.66,31.97,1,625.00,0.00,H,
1,1,BEPA,11,9,243,22.1,0,260.63,55.17,1,625.00,0.00,H,
1,1,BEPA,11,10,244,21.4,0,240.74,51.13,1,625.00,0.00,H,
1,1,ABBA,9,11,245,17.1,0,75.44,26.09,1,625.00,0.00,H,
1,1,BEPA,11,12,246,17.9,0,154.10,33.31,1,625.00,0.00,H,
1,1,BEPA,11,13,247,15.5,0,106.87,23.40,1,625.00,0.00,H,
1,1,BEPA,11,14,248,17.9,0,154.10,33.31,1,625.00,0.00,H,
1,1,BEPA,11,15,249,21.4,0,240.74,51.13,1,625.00,0.00,H,
1,1,BEPA,11,16,250,26.2,0,394.46,81.93,1,625.00,0.00,H,
1,1,PIRU,10,17,252,18.4,0,102.09,35.30,1,625.00,0.00,H,
1,1,PIRU,10,18,253,21.3,0,139.02,47.63,1,625.00,0.00,H,
1,1,PIRU,10,19,254,33.3,0,349.03,115.76,1,625.00,0.00,H,
1,1,PIRU,10,20,255,16.2,0,77.89,27.14,1,625.00,0.00,H,
1,1,BEAL,3,21,256,27.1,0,453.96,93.64,1,625.00,0.00,H,
1,1,ABBA,9,22,257,19.1,0,99.61,33.29,1,625.00,0.00,H,
1,1,BEPA,11,23,258,15.8,0,112.24,24.53,1,625.00,0.00,H,
1,1,ABBA,9,24,259,26.5,5,61.25,9.81,1,625.00,0.00,H,
1,1,FAGR,2,25,260,28.4,0,393.74,86.77,1,625.00,0.00,H,
1,1,BEPA,11,26,261,15.4,0,105.11,23.02,1,625.00,0.00,H,
1,1,BEPA,11,27,262,17.6,0,147.66,31.97,1,625.00,0.00,H,
1,1,BEPA,11,28,263,18.1,0,158.48,34.22,1,625.00,0.00,H,
1,1,BEPA,11,29,264,18.0,0,156.29,33.76,1,625.00,0.00,H,
1,1,ABBA,9,30,4565,15.8,0,61.94,21.94,1,625.00,0.00,H,
1,1,BEAL,3,31,4566,12.4,0,58.10,12.95,1,625.00,0.00,H,
1,1,PIRU,10,32,4567,21.1,0,136.29,46.72,1,625.00,0.00,H,
1,1,ABBA,9,33,4568,13.4,0,41.25,15.33,1,625.00,0.00,H,
1,1,ABBA,9,34,4569,17.6,0,81.08,27.80,1,625.00,0.00,H,
1,1,BEPA,11,35,4570,11.9,0,53.88,12.03,1,625.00,0.00,H,
1,1,BEPA,11,36,4571,14.0,0,82.24,18.15,1,625.00,0.00,H,
1,1,PIRU,10,37,4572,14.6,5,15.80,3.11,1,625.00,0.00,H,
1,1,BEPA,11,38,4573,11.4,0,48.14,10.78,1,625.00,0.00,H,
1,1,ABBA,9,39,4574,14.5,3,50.07,18.19,1,625.00,0.00,H,
1,1,BEPA,11,40,4575,10.8,0,41.76,9.38,1,625.00,0.00,H,
1,1,ABBA,9,41,4576,18.8,3,95.71,32.15,1,625.00,0.00,H,
1,1,ABBA,9,42,4577,10.1,0,20.83,8.35,1,625.00,0.00,H,
1,1,PIRU,10,43,4578,10.9,0,33.31,11.84,1,625.00,0.00,H,
1,1,PIRU,10,44,4579,10.5,0,30.74,10.94,1,625.00,0.00,H,
1,1,ABBA,9,45,4580,11.5,0,28.44,11.02,1,625.00,0.00,H,
1,1,ABBA,9,46,4581,16.1,0,64.90,22.86,1,625.00,0.00,H,
1,1,BEPA,11,47,4582,13.6,0,76.30,16.88,1,625.00,0.00,H,
1,1,BEPA,11,48,4583,13.0,0,67.86,15.06,1,625.00,0.00,H,
1,1,ABBA,9,49,4772,13.4,0,41.25,15.33,1,625.00,0.00,H,
1,1,ABBA,9,50,4773,11.7,5,7.22,1.63,1,625.00,0.00,H,
1,1,ABBA,9,51,4774,10.2,3,21.33,8.53,1,625.00,0.00,H,
1,1,ABBA,9,52,4775,16.8,4,52.65,6.09,1,625.00,0.00,H,
1,1,ABBA,9,53,4776,13.8,0,44.33,16.34,1,625.00,0.00,H,
1,1,PIRU,10,54,4777,14.9,0,65.15,22.81,1,625.00,0.00,H,
1,1,BEPA,11,55,4778,12.6,0,62.56,13.91,1,625.00,0.00,H,
