YEAR,WS,PLOT,ELEVATION_BAND,ELEVATION_M,LAIT,LAIS
1998,1,191,low,509.02,5.89,1.67
1998,1,184,low,520.29,5.07,1.13
1998,1,172,low,530.96,7.05,0.76
1998,1,165,low,542.85,7.04,0.38
1998,1,156,low,549.86,4.95,1.84
1998,1,124,mid,600.46,2.84,0.46
1998,1,123,mid,599.54,3.77,0.66
1998,1,107,mid,616.00,4.85,0.87
1998,1,94,mid,630.94,3.25,0.19
1998,1,84,mid,654.41,4.31,0.84
1998,1,82,mid,651.36,4.24,0.70
1998,1,71,mid,669.34,3.53,0.47
1998,1,54,mid,682.75,4.11,0.64
1998,1,40,high,709.88,3.63,0.27
1998,1,36,high,726.64,5.11,0.42
1998,6,204,low,565.10,4.07,1.01
1998,6,194,low,579.73,5.65,0.45
1998,6,187,low,588.57,5.11,0.49
1998,6,184,low,592.53,4.68,0.66
1998,6,173,low,607.47,5.55,0.40
1998,6,151,mid,640.38,3.29,0.98
1998,6,146,mid,644.65,2.55,0.92
1998,6,137,mid,655.32,4.68,0.67
1998,6,123,mid,667.21,3.52,0.33
1998,6,107,mid,689.15,3.71,0.62
1998,6,96,mid,701.95,3.21,0.26
1998,6,78,high,721.46,4.82,-9.99
1998,6,65,high,732.74,2.79,-9.99
1998,6,55,high,750.72,3.40,-9.99
1998,6,41,high,759.56,4.73,0.58
1998,6,36,high,767.79,2.77,0.74
1998,6,21,high,765.66,2.65,0.31
1999,1,191,low,509.02,5.73,0.97
1999,1,184,low,520.29,5.05,0.68
1999,1,172,low,530.96,6.43,0.93
1999,1,165,low,542.85,4.83,0.27
1999,1,156,low,549.86,4.83,0.23
1999,1,124,mid,600.46,2.85,0.66
1999,1,123,mid,599.54,3.62,0.67
1999,1,107,mid,616.00,4.93,1.08
1999,1,94,mid,630.94,3.37,0.23
1999,1,84,mid,654.41,3.85,1.09
1999,1,82,mid,651.36,4.56,0.66
1999,1,71,mid,669.34,3.34,0.62
1999,1,54,mid,682.75,3.77,0.66
1999,1,40,high,709.88,3.16,0.39
1999,1,36,high,726.64,5.00,0.62
1999,6,204,low,565.10,5.63,0.47
1999,6,194,low,579.73,4.81,0.48
1999,6,187,low,588.57,4.43,0.53
1999,6,184,low,592.53,5.29,0.78
1999,6,173,low,607.47,6.18,0.47
1999,6,151,mid,640.38,4.19,0.36
1999,6,146,mid,644.65,3.95,0.31
1999,6,137,mid,655.32,6.71,0.38
1999,6,123,mid,667.21,6.03,0.58
1999,6,107,mid,689.15,5.02,0.81
1999,6,96,mid,701.95,4.44,0.82
1999,6,78,high,721.46,4.50,0.35
1999,6,65,high,732.74,3.07,0.58
1999,6,55,high,750.72,3.66,0.46
1999,6,41,high,759.56,3.60,0.39
1999,6,36,high,767.79,1.97,0.81
1999,6,21,high,765.66,2.82,0.33
2000,1,191,low,509.02,6.61,0.66
2000,1,184,low,520.29,4.64,0.44
2000,1,172,low,530.96,8.31,0.76
2000,1,165,low,542.85,7.11,0.34
2000,1,156,low,549.86,6.45,1.27
2000,1,124,mid,600.46,4.43,1.10
2000,1,123,mid,599.54,5.50,0.86
2000,1,107,mid,616.00,6.16,0.81
2000,1,94,mid,630.94,4.69,0.48
2000,1,84,mid,654.41,6.02,1.05
2000,1,82,mid,651.36,6.72,0.89
2000,1,71,mid,669.34,4.81,1.00
