VariableName,Class
refNo,integer
uniqueID,character
site,character
date,Date
timeEST,character
pH,numeric
pHmetrohm,numeric
DIC,numeric
spCond,numeric
temp,numeric
ANC960,numeric
ANCMet,numeric
gageHt,numeric
hydroGraph,character
flowGageHt,numeric
precipCatch,numeric
fieldCode,character
notes,character
archived,character
waterYr,integer
datetime,character
Ca,numeric
Mg,numeric
K,numeric
Na,numeric
TMAl,numeric
OMAl,numeric
Al_ICP,numeric
Al_ferron,numeric
NH4,numeric
NH4_N,numeric
SO4,numeric
NO3,numeric
NO3_N,numeric
Cl,numeric
PO4,numeric
DOC,numeric
TDN,numeric
DON,numeric
SiO2,numeric
Mn,numeric
Fe,numeric
F,numeric
cationCharge,numeric
anionCharge,numeric
theoryCond,numeric
ionError,numeric
duplicate,character
sampleType,character
ionBalance,numeric
canonical,character
chla_M,numeric
chla_T,numeric
chla_MT,numeric
chla_WM,numeric
