uniqueID,site,date,timeEST,waterYr,pH,pHmetrohm,DIC,spCond,temp,ANCMet,gageHt,hydroGraph,flowGageHt,precipCatch,fieldCode,notes,archived,datetime,Ca,Mg,K,Na,TMAl,OMAl,Al_ICP,NH4,SO4,NO3,Cl,PO4,DOC,TDN,DON,SiO2,Mn,Fe,F,cationCharge,anionCharge,theoryCond,ionBalance,ionError,duplicate,sampleType
W1_20171031_0930,W1,10/31/17,9:30,2017,5.44,5.39,39,11,9.6,7.2,0.48,F,11.645,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 09:30:00,0.79,0.23,0.19,0.86,0.04,0.02,0.11,0,2.46,0.02,0.34,0,2.89,0.11,0.11,5.29,0,0.03,0.07,105.35,-108.53,12.99,-3.18,-0.0297,NA,Routine
W2_20171031_0900,W2,10/31/17,9:00,2017,5.35,5.29,35,9.5,9.5,3.6,0.43,F,15.88,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 09:00:00,0.83,0.24,0.24,1.03,0.03,0.02,0.09,0.01,2.71,0.06,0.33,0,2.69,0.12,0.1,5.91,0,0.03,0.05,117.06,-119.47,14.27,-2.4,-0.0203,NA,Routine
W3_20171031_0905,W3,10/31/17,9:05,2017,5.48,5.41,32,9.7,10.1,10.5,0.66,F,45.348,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 09:05:00,1,0.34,0.28,1.07,0.03,0.02,0.09,0.01,2.71,0.08,0.33,0,2.79,0.1,0.07,6.53,0,0.04,0.06,135.32,-135.01,15.95,0.3,0.0022,NA,Routine
W4_20171031_0945,W4,10/31/17,9:45,2017,5.81,5.76,39,9.8,9.5,11.2,0.483,F,21.11,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 09:45:00,0.95,0.29,0.31,1.03,0.03,0.02,0.1,0,2.43,0.02,0.34,0,3.03,0.12,0.12,6.13,0,0.03,0.07,127.58,-127.17,14.96,0.41,0.0032,NA,Routine
W5_20171031_0850,W5,10/31/17,8:50,2017,5.33,5.28,31,11.2,8.7,8,0.644,F,24.068,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 08:50:00,0.95,0.28,0.26,0.9,0.04,0.03,0.13,0,2.4,0.02,0.46,0,3.64,0.14,0.14,5.94,0,0.04,0.09,121.78,-128.67,14.8,-6.89,-0.055,NA,Routine
W6_20171031_0825,W6,10/31/17,8:25,2017,5.34,5.27,31,9.8,8.7,6.7,0.545,F,15.936,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 08:25:00,1.01,0.31,0.27,1.04,0.02,0.02,0.08,0.01,2.65,0.12,0.42,0,2.76,0.17,0.14,6.64,0,0.03,0.09,131.85,-144.65,16.21,-12.8,-0.0926,NA,Routine
W7_20171031_0740,W7,10/31/17,7:40,2017,5.44,5.39,31,8.7,8.5,4.9,0.879,F,91.48,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 07:40:00,0.96,0.28,0.22,0.63,0.14,0.1,0.35,0.02,1.67,0.09,0.45,0,8.73,0.24,0.2,4.44,0.03,0.13,0.1,123.17,-115.43,14.25,7.73,0.0648,NA,Routine
W8_20171031_0730,W8,10/31/17,7:30,2017,5.08,5.1,35,10.4,7.8,0.2,0.71,F,54.229,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 07:30:00,0.85,0.24,0.16,0.69,0.07,0.04,0.19,0.01,2.1,0.02,0.34,0,5.09,0.14,0.13,5.03,0,0.05,0.07,105.62,-106.73,12.81,-1.12,-0.0105,NA,Routine
W9_20171031_0710,W9,10/31/17,7:10,2017,4.46,4.44,31,18.9,7.6,-28.9,0.74,F,60.013,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 07:10:00,0.84,0.24,0.18,0.68,0.06,0.04,0.18,0.02,1.97,0.07,0.44,0,4.76,0.21,0.17,4.86,0,0.04,0.11,105.42,-110.56,12.94,-5.14,-0.0476,NA,Routine
HBK_20171031_0635,HBK,10/31/17,6:35,2017,5.47,5.42,31,10.2,8.7,6.2,-3,F,NA,NA,NA,"~8.5"" Heavy precip.(~3.5"" T.S. Phillipe) Post heavy rain. Stream now cleared of leaves for the first time this fall. Blownout / High flows!",Y,10/31/17 06:35:00,0.8,0.22,0.22,0.64,0.07,0.05,0.2,0.01,1.87,0.06,0.34,0,5.31,0.14,0.12,4.68,0,0.04,0.05,101.95,-104.92,12.48,-2.96,-0.0286,NA,Routine
